# node1 node2
85 345
345 217
217 469
469 69
69 329
329 201
201 453
453 5
201 456
456 72
72 332
332 12
329 137
137 388
388 196
196 448
137 398
398 14
398 78
78 335
335 15
78 328
328 200
200 452
452 4
469 229
229 484
484 132
132 396
396 76
76 320
484 244
244 496
229 493
493 173
173 421
421 229
173 431
431 159
159 412
412 140
140 388
412 92
92 336
159 413
413 173
413 221
221 478
478 254
254 509
509 205
205 460
460 140
205 457
457 9
457 73
73 330
330 202
202 457
73 333
333 141
141 399
399 79
79 332
141 389
389 197
197 452
333 13
509 237
237 495
495 223
223 476
476 204
204 456
476 156
156 400
156 404
404 164
164 428
428 156
404 212
212 472
472 248
248 500
500 196
472 88
88 348
348 76
212 464
223 478
495 175
175 429
429 237
429 157
157 414
414 238
238 493
238 490
490 154
154 414
154 408
408 232
232 484
232 480
408 72
490 202
238 492
492 172
172 420
420 228
228 480
228 492
492 220
220 472
220 464
238 489
489 153
153 413
153 410
410 234
234 489
234 488
488 152
152 412
152 400
488 200
410 74
74 334
334 14
334 206
206 458
458 74
206 461
461 141
461 13
153 404
153 414
489 201
489 137
489 249
249 501
501 197
249 504
504 216
216 476
216 468
468 228
468 68
68 328
414 78
414 142
142 396
142 393
393 9
393 201
414 94
94 351
351 79
94 344
344 216
157 404
157 415
415 143
143 397
397 205
397 77
77 334
77 324
324 132
415 95
95 348
157 405
405 165
165 429
405 213
213 473
473 249
473 89
89 349
349 77
349 157
89 346
346 218
218 473
218 478
473 233
233 484
233 494
494 206
494 158
158 412
158 409
409 73
409 233
409 217
409 169
169 420
169 430
430 142
430 158
158 415
158 408
494 222
222 479
479 207
207 462
462 78
462 142
479 159
222 472
222 477
477 237
477 77
477 205
477 157
222 474
474 250
250 505
505 201
505 217
474 90
90 350
350 78
350 222
494 174
174 428
174 425
425 137
425 233
233 485
485 245
245 500
485 133
133 397
233 488
473 73
213 468
237 485
237 492
237 489
254 506
506 218
478 94
478 206
478 158
221 468
221 476
221 473
413 141
413 93
93 350
93 340
340 148
148 412
148 408
493 221
493 141
493 253
253 505
253 508
508 236
236 484
236 488
217 472
217 477
217 474
345 153
