# node1 node2
85 345
345 217
345 153
217 469
217 472
217 477
217 474
469 69
469 229
69 329
229 484
229 493
329 201
329 137
484 132
484 244
493 173
493 221
493 141
493 253
201 453
201 456
137 388
137 398
132 396
244 496
173 421
173 431
253 505
253 508
453 5
456 72
388 196
398 14
398 78
396 76
421 229
431 159
508 236
72 332
196 448
78 335
78 328
76 320
159 412
159 413
236 484
236 488
332 12
335 15
328 200
412 140
412 92
413 173
413 221
413 141
413 93
200 452
140 388
92 336
221 478
221 468
221 476
221 473
93 350
93 340
452 4
478 254
478 94
478 206
478 158
340 148
254 509
254 506
148 412
148 408
509 205
509 237
506 218
205 460
205 457
237 495
237 485
237 492
237 489
460 140
457 9
457 73
495 223
495 175
73 330
73 333
223 476
223 478
175 429
330 202
333 141
333 13
476 204
476 156
429 237
429 157
202 457
141 399
141 389
204 456
156 400
156 404
157 414
157 404
157 415
157 405
399 79
389 197
404 164
404 212
414 238
414 78
414 142
414 94
415 143
415 95
405 165
405 213
79 332
197 452
164 428
212 472
212 464
238 493
238 490
238 492
238 489
142 396
142 393
94 351
94 344
143 397
95 348
165 429
213 473
213 468
428 156
472 248
472 88
490 154
490 202
492 172
492 220
489 153
489 201
489 137
489 249
393 9
393 201
351 79
344 216
397 205
397 77
473 249
473 89
473 233
473 73
248 500
88 348
154 414
154 408
172 420
220 472
220 464
153 413
153 410
153 404
153 414
249 501
249 504
77 334
77 324
89 349
89 346
233 484
233 494
233 485
233 488
500 196
348 76
408 232
408 72
420 228
410 234
410 74
501 197
504 216
324 132
349 77
349 157
346 218
494 206
494 158
494 222
494 174
485 245
485 133
232 484
232 480
228 480
228 492
234 489
234 488
74 334
216 476
216 468
218 473
218 478
158 412
158 409
158 415
158 408
222 479
222 472
222 477
222 474
174 428
174 425
245 500
133 397
488 152
488 200
334 14
334 206
468 228
468 68
409 73
409 233
409 217
409 169
479 207
479 159
477 237
477 77
477 205
477 157
474 250
474 90
425 137
425 233
152 412
152 400
206 458
206 461
68 328
169 420
169 430
207 462
250 505
90 350
458 74
461 141
461 13
430 142
430 158
462 78
462 142
505 201
505 217
350 78
350 222
